m/z_RT_node,CNAT12_TV104__WC,CNAT1_TV105__WC,CNAT9_TV106__WC,MCAV1_TV107__WC,MCAV2_TV108__WC,MCAV3_TV109__WC,MCAV6_TV110__WC,MMEA14_TV103__WC,MMEA202_TV100_WC,MMEA24_TV99__WC,MMEA2_TV102__WC,OFAV12_TV113__WC,OFAV2_TV111__WC,OFAV3_TV112__WC,OFAV7_TV114__WC
,CNAT,CNAT,CNAT,MCAV,MCAV,MCAV,MCAV,MMEA,MMEA,MMEA,MMEA,OFAV,OFAV,OFAV,OFAV
814.618_21_4192,0,1031143.892,0,197014.9055,18925.695,0,1622018.548,1998433.012,0,302278.842,1896499.024,117572.4435,0,0,0
289.141_7.9_4800,0,35833.6765,899559.7595,619867.9615,2009650.189,431731.441,442824.061,230373.811,0,611836.425,51578.8625,149218.112,415327.758,549143.372,1915544.77
842.59_18.5_3896,0,91845.594,244758.902,61818.9645,29324.391,10551.48,0,128386.1675,218722.003,775559.69,83067.419,0,30947.2115,115583.224,275161.0095
504.342_13_551,1048783.309,6988855.508,1.02E+07,1.11E+07,2425540.736,1.70E+07,1.68E+07,1.54E+07,7588852.709,1.12E+07,1.06E+07,1.95E+07,4500179.235,4230847.529,7696145.891
548.504_21.3_1537,0,174753.2295,52221.644,162441.025,0,0,165692.836,192679.4095,257568.549,380023.185,308424.6495,167299.597,73785.3735,48695.817,0
221.19_11.1_1743,0,0,285288.145,0,0,0,174968.139,0,0,0,0,0,0,0,0
409.344_17.6_1436,0,33156.8375,0,46516.457,305467.4,24864.238,82960.418,28683.083,99060.936,244384.54,274519.4795,0,0,19254.4875,0
349.198_11.8_900,0,492376.3675,1529268.007,0,8207.784,8342854.96,3609803.658,2827275.46,1306976.197,2094605.738,1458444.646,1298792.444,462689.785,0,2670821.797
381.315_20.2_2225,0,0,0,9711.76,0,9202.347,0,59113.8605,74692.7285,100341.241,199095.039,0,0,0,0
291.195_8.7_3380,0,18138.86,154369.926,10316.079,267411.0815,0,0,58335.193,0,0,7057.822,48652.7845,0,1493760.366,108928.835
432.324_19.3_2251,0,38258.5675,0,39898.8155,0,0,568686.7125,0,0,0,8200.962,0,0,0,0
462.209_6.4_1575,0,136544.8005,47252.098,152977.266,0,69344.5215,148719.5085,175645.913,190613.7685,254723.814,0,0,24812.0505,52158.025,70917.2085
480.344_12.6_1153,0,237902.8495,396908.199,256335.4605,0,5391240.235,2985871.823,3964658.107,211528.179,1515046.315,1052487.456,2673730.856,10049.16,343196.969,0
475.415_21.6_5138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
788.609_21.1_3893,61696.425,0,0,80454.364,10079.424,0,0,0,0,40459.6035,9562.465,296150.438,155248.927,0,9253.501
728.569_19.7_3296,0,0,0,68988.026,29095.4615,0,0,472751.154,446553.0485,471952.3795,626651.8755,75873.693,9453.072,173487.8245,8625.591
451.27_17.6_2395,0,455548.87,426427.5945,7390.845,0,0,249403.0445,0,0,0,0,252034.092,71769.1355,0,0
490.28_5.9_1254,0,0,0,741892.4265,0,59470.2845,386499.894,0,0,0,0,0,0,0,0
333.242_19.4_2880,0,183421.506,129451.9565,281302.906,0,0,322619.027,22671.547,34815.124,80145.339,36897.0855,197842.291,180626.089,6750.529,0
444.215_7.1_5531,0,6135775.925,9513544.244,0,0,0,0,0,0,0,0,0,0,0,0
714.8_7.3_5918,0,0,0,0,0,0,0,0,0,0,0,50006.908,0,0,271169.7805
810.6_16.9_5863,0,0,1570826.654,0,1834199.218,290994.6825,0,2547991.248,0,0,0,522211.5665,0,324516.1915,513971.7525
854.634_20_1440,0,423508.049,918282.086,268933.0485,94260.6765,0,77583.0285,0,0,0,0,275473.689,65955.434,369713.3375,0
235.205_11.8_863,32429.2645,2561980.746,711354.336,0,322927.6905,18045.7405,178455.212,990859.4995,0,704961.7285,2366713.321,1046527.775,618750.2265,920313.8605,152637.0115
510.523_20_5576,0,400238.8655,137152.3035,83376.526,0,0,25512.5775,0,181226.3135,0,0,101472.828,164314.953,0,0
611.286_16.5_783,51145.7135,753198.5615,121988.1715,30482.904,0,0,154184.159,1092749.051,188605.463,738134.465,891982.316,300915.8895,874875.597,8042.652,0
308.172_6.5_2972,10633.747,0,384737.0615,0,0,296479.144,219166.3725,0,54637.745,54244.1005,0,19871.425,383719.366,0,3008437.525
782.602_19.1_6152,0,0,968443.8775,0,3514319.979,0,0,3147128.433,0,0,0,26551.0375,0,0,0
359.183_11.1_2723,0,195450.9765,58917.035,0,38213.5045,517462.512,376870.2175,539912.964,36653.0155,960563.671,352592.122,1004599.765,1186212.22,1360490.292,999554.0895
535.472_22.8_5801,0,0,0,0,0,955760.1575,0,0,0,0,0,0,0,0,156568.964
1182.007_9_5320,0,0,0,0,0,0,0,1140939.218,911033.6605,0,0,0,0,0,0
